2ndFlrSF,GarageArea,KitchenQual,TotalBsmtSF,YearBuilt,YearRemodAdd
0.0,505,Gd,585,1960,2007
,440,TA,744,1999,1999
0.0,908,Gd,1976,2006,2007
0.0,758,Gd,1563,2007,2007
539.0,288,TA,572,1926,1950
651.0,270,TA,776,1931,2000
0.0,452,TA,0,1955,1955
880.0,706,Ex,1848,2005,2006
672.0,264,TA,630,1972,1972
192.0,586,Gd,1332,1979,1979
468.0,680,TA,0,1959,1959
0.0,430,TA,1125,2006,2007
600.0,480,Gd,600,2005,2005
842.0,520,Gd,798,2004,2004
904.0,525,Gd,1223,1994,1994
0.0,240,TA,972,1948,2002
878.0,466,Gd,1128,1995,1995
,596,TA,1144,1956,1956
0.0,288,Gd,1062,1958,1958
0.0,484,TA,926,1929,2001
838.0,592,Gd,1086,1998,1998
0.0,240,TA,1164,1950,1950
0.0,840,TA,952,1951,1951
1215.0,0,TA,684,1872,1987
0.0,540,Gd,880,1988,2007
691.0,672,TA,482,1905,2000
0.0,480,TA,1004,1970,1970
456.0,305,TA,747,1946,1950
0.0,495,TA,915,1920,1950
0.0,440,Fa,1145,1924,1950
0.0,445,Gd,1453,1986,1986
0.0,670,Gd,1581,2001,2002
0.0,825,Gd,1588,2006,2006
0.0,264,TA,588,1958,1958
0.0,368,TA,1050,1961,1961
0.0,432,TA,960,1965,1965
454.0,280,TA,810,1948,1950
0.0,462,Gd,1489,1968,1968
0.0,786,Ex,1726,2007,2007
720.0,484,Gd,1362,2003,2003
0.0,484,TA,1309,1990,1990
1140.0,1069,Gd,1284,1998,1998
984.0,660,Gd,879,2006,2006
0.0,396,TA,768,1972,2007
0.0,0,Fa,0,1946,1950
0.0,384,TA,1136,1965,1965
0.0,405,TA,1237,1998,1998
0.0,288,TA,912,1964,1964
936.0,264,TA,864,1962,1962
720.0,240,Gd,720,1939,1997
526.0,0,TA,658,1910,1996
925.0,308,TA,925,1910,1950
0.0,624,Gd,1063,1959,2002
0.0,576,Gd,1422,1981,1981
0.0,576,TA,1632,1967,1967
0.0,451,Gd,1630,2000,2001
0.0,0,Fa,1013,1915,1982
0.0,420,TA,0,1949,1950
806.0,216,Fa,806,1915,1950
653.0,576,Gd,1122,1928,1950
0.0,418,TA,1416,1953,1953
1092.0,868,Ex,1482,2007,2007
764.0,520,TA,764,1919,1950
0.0,520,TA,1248,1964,1964
0.0,440,TA,958,1976,1976
795.0,370,Gd,833,1923,2000
0.0,490,TA,1281,1976,1993
0.0,400,Gd,1158,1992,1992
,220,TA,735,1945,1950
0.0,288,TA,892,1967,1967
0.0,240,Gd,788,1940,1992
0.0,0,TA,1140,2006,2006
813.0,483,TA,780,1963,1963
912.0,551,Gd,848,1976,1976
981.0,812,Ex,1017,2008,2008
0.0,216,Ex,691,1920,1950
,676,Gd,768,2008,2008
639.0,325,TA,994,1954,1972
776.0,442,Gd,994,1999,1999
884.0,543,Gd,884,2003,2003
1796.0,807,Gd,1930,1995,1996
,403,Gd,1298,1985,1985
0.0,484,TA,1501,1959,1997
0.0,0,Ex,630,1970,1970
0.0,440,Gd,1103,1925,1980
319.0,384,TA,859,1900,1950
0.0,440,TA,1196,1916,1990
,529,Gd,1372,2007,2008
0.0,296,TA,1099,1962,1962
0.0,626,Gd,1422,2004,2004
874.0,501,Gd,1580,1992,1992
0.0,440,TA,1121,2003,2004
1330.0,852,Gd,1143,2004,2005
0.0,576,TA,1057,1962,1962
0.0,602,Gd,1097,1978,1978
1106.0,671,Gd,1152,1999,2007
0.0,746,Ex,2002,2008,2009
714.0,440,TA,672,1978,1978
871.0,1043,Gd,1082,2005,2006
0.0,462,Gd,1337,1993,1993
1288.0,648,Gd,969,2000,2000
0.0,826,Gd,1705,2007,2008
0.0,484,TA,1024,1966,1966
0.0,660,Gd,1373,2007,2007
0.0,567,Ex,1902,1959,2002
1216.0,693,TA,1216,1990,1991
0.0,528,TA,1086,1979,1979
0.0,460,TA,1054,1969,1969
1336.0,676,Gd,1225,1998,1999
0.0,288,TA,876,1967,1967
,484,Ex,845,1980,1980
703.0,299,TA,689,1977,1977
0.0,576,Gd,1109,1961,1995
768.0,240,TA,1208,1950,1982
208.0,208,TA,862,1929,1950
611.0,502,TA,611,1920,1999
1286.0,429,Gd,975,1999,1999
668.0,250,TA,649,1920,1950
0.0,928,Ex,1734,2007,2007
0.0,312,TA,1194,1959,1959
540.0,720,TA,876,1915,1950
0.0,354,TA,1383,1954,1954
1001.0,871,TA,1001,1949,1950
0.0,474,Gd,1496,2007,2007
620.0,660,TA,984,1941,1960
0.0,504,TA,680,1925,2004
755.0,476,Gd,741,1985,1985
0.0,840,Gd,1494,2006,2007
0.0,180,TA,960,1926,1950
0.0,397,Gd,1145,2005,2006
742.0,0,TA,742,1914,2001
0.0,525,Gd,819,1958,1958
581.0,686,Gd,650,1904,2002
1370.0,656,Ex,1122,2005,2007
0.0,528,TA,600,1926,1953
989.0,583,Gd,1108,1998,1998
1538.0,884,Ex,3138,2007,2008
390.0,624,TA,698,1937,2000
0.0,0,TA,720,1920,1950
0.0,830,Gd,1580,2007,2008
0.0,0,TA,1440,1977,1977
,540,Gd,738,2005,2005
0.0,570,Gd,1500,2004,2004
464.0,216,TA,884,1925,1997
0.0,884,Gd,864,1965,1998
0.0,514,TA,1394,1963,1963
832.0,484,Gd,800,1966,2000
0.0,336,TA,912,1967,1967
1254.0,864,TA,1370,1918,1950
0.0,349,TA,1140,1962,1962
548.0,440,TA,440,1910,1981
1178.0,440,Gd,853,1932,1994
728.0,429,TA,728,2006,2006
0.0,660,Gd,864,1970,1970
739.0,380,Gd,970,2004,2006
855.0,528,Gd,810,2001,2001
1274.0,656,Gd,1347,1993,1993
,595,Gd,798,2003,2003
685.0,420,TA,978,1900,1970
0.0,529,Gd,1364,1954,1994
0.0,504,TA,1728,1963,1963
790.0,462,Gd,1055,1992,1992
831.0,440,Gd,822,1964,1993
0.0,776,Gd,1489,2006,2006
0.0,300,TA,864,1959,1959
0.0,276,TA,1256,1965,1965
0.0,816,TA,816,1982,2003
918.0,492,Gd,864,1965,1988
1215.0,833,Gd,1104,1991,1991
0.0,461,TA,1065,1960,1960
0.0,312,TA,1200,1923,1950
0.0,632,Gd,1187,2006,2006
1349.0,642,Gd,1094,2005,2006
,527,Gd,1720,1996,1996
0.0,0,TA,672,1930,1950
0.0,496,Gd,1278,1991,1991
0.0,450,TA,1090,2005,2006
,420,Gd,1141,1998,1998
0.0,440,TA,969,1975,1975
0.0,1248,TA,894,1935,1950
,360,TA,1008,1927,1950
979.0,492,TA,979,1946,1950
0.0,895,Gd,1795,2006,2007
0.0,606,Ex,1930,2009,2010
0.0,439,Gd,1176,1973,2000
672.0,400,Fa,672,1925,1950
0.0,554,Ex,1417,2008,2008
0.0,338,TA,864,1972,1972
495.0,200,TA,616,1941,1950
790.0,420,TA,680,1993,1993
0.0,440,TA,1116,1962,1962
,288,Gd,864,1959,1959
0.0,498,TA,1297,1954,1990
0.0,264,Gd,1113,1950,2007
0.0,577,Gd,1490,1999,1999
783.0,614,Gd,756,2009,2009
956.0,678,Gd,991,2004,2005
0.0,908,Gd,1709,2006,2006
0.0,440,TA,1010,1971,1971
886.0,455,TA,1117,1996,1997
0.0,388,Gd,1266,2007,2007
876.0,716,Ex,1992,2005,2006
1276.0,554,Gd,952,2000,2000
0.0,494,Gd,1414,2004,2004
785.0,471,Gd,928,1994,1994
741.0,434,TA,713,1975,1975
430.0,528,TA,698,1920,1950
0.0,358,TA,1096,1977,1977
0.0,574,TA,1728,1976,1976
762.0,711,Gd,1629,1994,2005
0.0,452,Ex,1437,1968,2003
530.0,400,Gd,1156,1990,1991
0.0,400,Gd,856,2005,2005
0.0,484,Gd,1370,2006,2006
0.0,480,TA,1680,1967,1976
739.0,380,Gd,970,2004,2004
,264,TA,483,1971,1971
901.0,216,TA,793,1920,1950
1175.0,360,TA,952,1932,1950
0.0,264,TA,1059,1963,2003
0.0,533,Gd,1604,1993,1994
0.0,336,TA,1244,1957,1957
0.0,252,Fa,700,1922,1950
623.0,480,Gd,600,2005,2005
0.0,612,TA,1686,1980,1980
0.0,800,Gd,1638,2007,2008
0.0,264,TA,864,1961,1983
858.0,639,Gd,939,2006,2006
0.0,462,TA,0,1962,1962
873.0,839,Gd,992,2000,2000
0.0,308,TA,1056,1958,1992
1174.0,820,Ex,1926,2008,2009
0.0,492,TA,506,1977,1995
0.0,636,Gd,1686,2004,2005
709.0,413,TA,802,1997,1997
0.0,246,Gd,1057,1953,2007
1044.0,560,TA,777,1885,1950
806.0,786,Gd,1204,1988,1988
1523.0,594,Gd,1673,1990,1990
807.0,512,Gd,880,1996,1996
0.0,457,TA,1372,1967,1967
0.0,437,Gd,1346,2005,2006
,648,Gd,1053,2003,2004
628.0,462,Gd,600,1999,2000
0.0,264,Gd,999,1962,2001
622.0,528,TA,622,1910,1950
0.0,490,TA,1127,1966,1966
0.0,702,Gd,1626,2002,2002
1218.0,853,Gd,1158,2005,2006
551.0,352,TA,540,1900,1950
676.0,388,TA,794,1997,1997
0.0,532,Gd,1541,2005,2005
0.0,0,Fa,1440,1955,1955
0.0,438,Gd,868,2003,2003
0.0,481,Ex,1494,1995,1996
,738,Ex,1462,2004,2005
523.0,186,TA,731,1921,1950
1242.0,683,Gd,1028,1998,1999
850.0,540,TA,816,1964,1978
703.0,504,Gd,1064,1987,1987
,550,Gd,1324,2006,2006
546.0,330,TA,912,1948,1950
0.0,440,Gd,1314,2006,2006
0.0,529,Gd,1575,1992,1992
0.0,912,Ex,1620,2007,2008
684.0,304,TA,1104,1957,1989
0.0,240,TA,814,1966,1966
0.0,500,TA,1542,1978,1988
677.0,492,Gd,776,1999,2000
875.0,225,TA,815,1916,1950
0.0,576,TA,1188,1956,1987
0.0,508,TA,1568,1968,2003
0.0,0,TA,864,1925,1950
576.0,336,TA,536,1976,1976
1121.0,746,Gd,700,1990,1991
518.0,210,TA,686,1925,1950
0.0,216,TA,656,1927,2007
698.0,384,TA,698,1915,2003
0.0,834,Ex,1856,2010,2010
551.0,789,Ex,1582,2007,2007
0.0,529,Gd,1602,1977,2000
672.0,280,TA,630,1971,1971
702.0,393,Gd,783,2002,2003
0.0,352,TA,912,1962,1962
,420,TA,1004,1947,1950
304.0,576,TA,1181,1925,1950
0.0,220,TA,747,1945,1950
0.0,420,TA,0,1950,1950
829.0,493,Gd,831,2002,2002
665.0,308,Gd,1026,1924,1950
0.0,720,Gd,864,1950,2002
0.0,264,TA,744,1984,1984
829.0,564,Gd,963,2001,2001
862.0,474,Gd,764,2003,2003
0.0,472,Ex,1476,2006,2006
1818.0,870,Gd,1470,1880,2002
0.0,840,Ex,1652,2006,2007
0.0,350,TA,1276,1958,1958
,271,TA,856,1950,2005
472.0,0,TA,720,1949,1950
0.0,504,Gd,840,1983,1983
,454,TA,1157,1988,1989
0.0,392,TA,0,1955,2007
883.0,532,Gd,728,1910,1993
688.0,336,TA,264,1976,1976
684.0,216,TA,684,1910,1993
765.0,379,TA,840,1915,1950
0.0,900,Ex,2006,2009,2009
625.0,528,Gd,625,2006,2007
0.0,757,Gd,1624,1994,1995
0.0,360,TA,845,1982,2006
0.0,418,TA,1389,1974,1975
0.0,480,TA,968,1923,2006
546.0,286,TA,546,1970,1970
0.0,420,Gd,848,2003,2004
0.0,308,TA,1269,1960,1960
0.0,288,TA,1092,1962,1962
795.0,539,Gd,795,1977,1994
0.0,283,TA,952,1956,1956
716.0,0,TA,736,1920,2008
0.0,504,TA,1039,1965,1965
0.0,412,TA,1204,1998,1998
0.0,672,TA,1029,1976,1976
0.0,701,Gd,2158,1990,1991
0.0,328,TA,985,1977,1977
0.0,880,Gd,3206,2003,2004
600.0,216,TA,861,1928,1950
0.0,484,TA,980,1977,1977
1129.0,590,Gd,1095,1992,2000
602.0,180,Gd,602,1923,1996
626.0,432,Gd,697,1966,1966
1028.0,836,Ex,1034,2007,2008
0.0,0,Fa,264,1936,1950
0.0,840,Ex,1573,2008,2009
0.0,774,Ex,1932,2008,2008
0.0,404,TA,1075,1960,1960
0.0,280,TA,882,1967,1967
,786,Ex,1700,2006,2007
661.0,240,Ex,636,1880,1991
1015.0,834,Gd,1379,1996,1997
1194.0,680,Ex,774,2009,2010
0.0,532,Gd,1536,2002,2003
0.0,200,TA,864,1914,1950
0.0,546,Gd,3200,1992,1993
631.0,670,Gd,1434,2003,2003
1320.0,864,Gd,1240,1880,2003
0.0,530,TA,1304,1970,1970
1060.0,878,Ex,1030,2005,2005
0.0,360,TA,864,1965,1965
800.0,530,TA,784,1969,1969
,480,TA,1040,1984,1985
512.0,528,Gd,684,1920,2000
668.0,451,Gd,1052,1958,1958
0.0,576,TA,1728,1965,1965
903.0,577,Gd,1128,2002,2002
0.0,297,TA,1196,1956,1956
0.0,360,TA,720,1941,1950
840.0,462,TA,780,1969,1969
0.0,1134,Ex,2077,2005,2006
0.0,617,Ex,1869,2007,2007
930.0,431,Gd,930,1998,1999
0.0,308,TA,480,1949,1950
0.0,516,TA,0,1967,1967
0.0,288,TA,816,1938,1958
,478,TA,1271,1978,1978
830.0,451,TA,936,2000,2000
1168.0,796,Gd,1338,1993,1993
0.0,796,TA,1144,1959,1959
1611.0,621,TA,612,1921,1998
605.0,312,Fa,972,1939,1950
0.0,624,TA,970,1963,1963
0.0,513,TA,2136,1965,1965
,440,Gd,1026,1969,2005
0.0,0,TA,698,1947,2008
0.0,576,Gd,1533,1975,1975
0.0,660,TA,720,1941,1950
0.0,530,Gd,1391,2004,2004
0.0,240,Gd,1078,1950,1996
0.0,471,Gd,1267,2001,2002
0.0,301,TA,1442,1958,1958
940.0,0,TA,940,1911,1950
0.0,644,Gd,1502,2009,2009
0.0,458,TA,1392,1957,1957
0.0,0,TA,1768,1968,1968
0.0,390,TA,1624,1964,1964
0.0,301,TA,958,1960,1998
0.0,600,TA,894,1972,1972
0.0,402,TA,1224,1999,1999
590.0,846,Ex,1682,2007,2008
0.0,430,Gd,1256,2004,2005
0.0,712,Gd,1732,2006,2007
728.0,390,Gd,728,2005,2006
0.0,539,TA,655,1959,1959
0.0,240,Gd,1008,1953,2006
0.0,430,Gd,1373,2005,2006
892.0,180,TA,747,1914,1950
0.0,280,Gd,637,1930,1950
640.0,400,Gd,384,2006,2007
734.0,496,TA,980,1988,1988
0.0,294,TA,0,1959,1959
0.0,0,Fa,728,1940,1966
591.0,288,TA,626,1980,1980
0.0,299,TA,990,1994,1994
1320.0,691,Gd,1117,2004,2005
0.0,420,Gd,848,2003,2003
672.0,300,TA,672,1925,1950
0.0,676,Gd,1218,2009,2009
748.0,672,TA,588,1922,1994
0.0,550,Gd,1247,2005,2005
1330.0,619,TA,1330,1977,1995
0.0,482,Gd,1600,2008,2008
0.0,546,TA,1844,1977,1977
858.0,689,Gd,1113,2005,2005
793.0,463,TA,982,2000,2000
887.0,574,Gd,1050,1993,1994
0.0,0,TA,630,1972,1972
0.0,530,Gd,1494,2002,2002
,0,TA,600,1910,1950
0.0,508,Gd,1274,2005,2007
0.0,364,TA,1156,1955,1972
0.0,528,TA,660,1977,1977
702.0,393,Gd,783,2003,2003
793.0,550,TA,793,1976,1976
0.0,0,TA,816,1990,1990
0.0,555,Gd,1176,2003,2003
,548,TA,941,1954,1972
0.0,528,TA,1080,1960,1960
0.0,240,Gd,768,1924,2006
0.0,818,Gd,1694,2007,2007
0.0,765,Gd,1800,2002,2002
915.0,560,TA,662,1900,1950
678.0,315,TA,1040,1949,1950
0.0,576,TA,940,1978,1978
0.0,408,TA,876,1966,1966
0.0,484,TA,1126,1977,1977
1332.0,872,Gd,1136,2004,2004
0.0,540,TA,938,1969,1969
0.0,288,TA,1052,1968,1968
524.0,0,TA,572,1924,1950
0.0,484,TA,1141,2005,2005
778.0,484,TA,732,1972,1972
848.0,660,Gd,1004,1999,2000
0.0,0,TA,520,1935,1982
720.0,513,TA,624,1916,1950
0.0,576,TA,1947,1970,1989
1051.0,360,TA,907,1908,1997
1540.0,831,Gd,1142,1976,1996
0.0,484,Gd,1364,2005,2005
0.0,402,TA,1237,1995,1996
0.0,528,TA,1328,1963,1963
0.0,286,TA,978,1960,1978
800.0,486,TA,768,1965,1990
0.0,192,Fa,952,1916,1950
0.0,500,Gd,1660,2006,2006
0.0,1166,Ex,2216,2008,2009
0.0,160,TA,768,1930,1950
0.0,396,Gd,1340,2007,2007
0.0,480,Gd,1610,1977,2001
1259.0,600,TA,1361,1977,1977
0.0,438,Gd,1248,2005,2006
0.0,288,Gd,912,1961,1996
,472,TA,943,1998,1998
0.0,1356,TA,1249,1961,1975
884.0,180,Gd,1028,1945,2002
0.0,456,TA,1144,1961,1961
672.0,281,TA,793,1932,2000
0.0,472,TA,1516,1964,1964
0.0,675,Gd,1498,2006,2006
1157.0,560,Gd,804,2001,2002
728.0,440,Gd,728,2006,2006
1196.0,349,TA,1032,1940,1950
0.0,708,Ex,1896,2003,2004
0.0,474,Gd,1368,2005,2006
908.0,588,Gd,873,1999,1999
1237.0,858,Ex,1452,2008,2008
551.0,312,TA,720,1948,1950
,604,TA,1845,1988,1988
900.0,577,Gd,1190,1984,1984
914.0,546,TA,794,1998,1998
0.0,436,Gd,1302,2007,2007
0.0,542,Gd,2524,1981,1981
534.0,338,TA,840,1920,1950
862.0,474,Gd,764,2003,2004
299.0,240,TA,735,1940,1950
,588,Ex,1518,2003,2004
592.0,240,TA,1040,1931,1950
0.0,598,Gd,1649,1998,1998
895.0,432,TA,854,1932,1950
650.0,324,TA,650,1920,1988
0.0,564,Gd,1742,1985,1985
564.0,280,Fa,686,1918,1950
0.0,528,TA,816,1934,1950
988.0,506,Gd,908,1992,1992
403.0,240,TA,940,1940,2000
0.0,377,Gd,992,1955,1996
1103.0,552,TA,832,2009,2009
0.0,534,Gd,1777,2002,2002
1081.0,434,Gd,847,2003,2004
0.0,336,TA,1051,1968,1968
601.0,440,TA,855,1978,1978
817.0,431,Gd,798,1939,2006
0.0,880,Gd,1868,2005,2006
0.0,665,Gd,1565,1976,1976
860.0,663,Gd,814,2000,2000
0.0,0,TA,974,1991,1992
898.0,586,Gd,1065,2002,2002
1017.0,678,Gd,1080,1993,1993
0.0,500,TA,1424,1990,1990
,720,TA,1120,1920,1950
687.0,240,TA,1026,1925,1950
741.0,583,TA,689,1972,1972
1312.0,666,Ex,1234,2006,2006
240.0,0,TA,780,1875,1996
679.0,779,TA,1095,1900,1950
0.0,0,Fa,683,1922,1950
709.0,490,Gd,673,2000,2000
1518.0,840,Ex,1107,1892,1993
1032.0,205,Fa,1008,1880,1950
766.0,373,TA,806,1995,1996
0.0,739,Gd,1643,1971,2002
0.0,304,TA,1056,1968,1968
272.0,392,TA,784,1924,1950
0.0,504,TA,1362,1961,1961
0.0,420,Gd,848,2004,2004
0.0,527,Gd,1454,2001,2001
,628,Gd,1208,2007,2007
370.0,566,Gd,796,1936,1989
0.0,691,Gd,1986,1994,1994
1093.0,983,Gd,1311,1993,1994
0.0,626,Gd,1314,2007,2008
739.0,380,Gd,970,2004,2004
546.0,0,TA,672,1971,1971
1440.0,0,Fa,1440,1914,1995
0.0,0,TA,1200,1987,1988
0.0,297,TA,912,1958,1985
1872.0,832,Ex,2444,1994,1995
854.0,548,Gd,856,2003,2003
1140.0,656,Ex,1181,2003,2004
704.0,234,Fa,704,1941,1950
0.0,528,Fa,1466,1959,1959
0.0,292,TA,1383,1960,1960
0.0,410,TA,0,1979,1979
0.0,576,TA,990,1995,1995
728.0,240,TA,918,1941,1950
1020.0,440,Fa,1020,1910,1950
685.0,550,TA,539,1979,1979
743.0,541,Gd,1683,1992,2000
1020.0,576,TA,952,1969,1969
567.0,240,TA,672,1936,1950
600.0,480,Gd,600,2005,2005
672.0,468,TA,672,1920,1997
828.0,500,Gd,840,2003,2003
0.0,400,TA,0,1950,1950
0.0,576,Gd,900,1951,2000
0.0,812,TA,1559,1948,1973
0.0,248,TA,864,1954,1954
,264,TA,923,1980,1980
0.0,782,Gd,1552,2005,2006
,642,Gd,756,1915,1970
0.0,440,TA,1461,1968,1993
504.0,264,TA,483,1973,1973
0.0,521,Gd,1200,1995,1995
